id,name,description,created_at,updated_at,deleted_at
113,Pearl Onions,,2021-04-30 19:49:17.971+00,2021-04-30 19:49:17.972761+00,
114,Red Wine Vinegar,,2021-04-30 19:49:17.971+00,2021-04-30 19:49:17.972761+00,
115,Lime,,2021-04-30 19:49:17.971+00,2021-04-30 19:49:17.972761+00,
116,Garlic,,2021-04-30 19:49:17.971+00,2021-04-30 19:49:17.972761+00,
117,Parsley,,2021-04-30 19:49:17.971+00,2021-04-30 19:49:17.972761+00,
118,Dill,,2021-04-30 19:49:17.971+00,2021-04-30 19:49:17.972761+00,
119,Red Pepper Flake,,2021-04-30 19:49:17.971+00,2021-04-30 19:49:17.972761+00,
120,Free Range Organic Eggs,,2021-05-01 15:35:32.792+00,2021-05-01 15:35:32.802191+00,
121,Grass-fed Butter,,2021-05-01 15:35:32.792+00,2021-05-01 15:35:32.802191+00,
122,Organic Milk,,2021-05-01 15:35:32.792+00,2021-05-01 15:35:32.802191+00,
123,Heirloom Carrots,,2021-05-05 16:26:33.196+00,2021-05-05 16:26:33.209162+00,
124,Onion Soubise,,2021-05-05 16:26:33.196+00,2021-05-05 16:26:33.209162+00,
125,Local New Potatoes,,2021-05-05 16:27:32.205+00,2021-05-05 16:27:32.212322+00,
126,Gotham Greens Gem Lettuce,,2021-05-05 16:28:37.888+00,2021-05-05 16:28:37.893514+00,
127,Sunflower Seeds,,2021-05-05 16:28:37.888+00,2021-05-05 16:28:37.893514+00,
128,Dark Rye Breadcrumbs,,2021-05-05 16:28:37.888+00,2021-05-05 16:28:37.893514+00,
129,Vegan Herb Yogurt Dressing,,2021-05-05 16:28:37.888+00,2021-05-05 16:28:37.893514+00,
130,Wild Gulf Shrimp,,2021-05-05 16:30:41.569+00,2021-05-05 16:30:41.576435+00,
131,Spice Rub,,2021-05-05 16:30:41.569+00,2021-05-05 16:30:41.576435+00,
132,Pastured Organic Chicken Breasts ,,2021-05-05 16:31:39.783+00,2021-05-05 16:31:39.787766+00,
133,Organic Buttermilk,,2021-05-05 16:31:39.783+00,2021-05-05 16:31:39.787766+00,
134,Rosemary,,2021-05-05 16:31:39.783+00,2021-05-05 16:31:39.787766+00,
135,Thyme,,2021-05-05 16:31:39.783+00,2021-05-05 16:31:39.787766+00,
136,Sage,,2021-05-05 16:31:39.783+00,2021-05-05 16:31:39.787766+00,
137,Asparagus,,2021-05-05 16:32:29.276+00,2021-05-05 16:32:29.299467+00,
138,Lemon Juice,,2021-05-05 16:32:29.276+00,2021-05-05 16:32:29.299467+00,
139,Lemon Zest,,2021-05-05 16:32:29.276+00,2021-05-05 16:32:29.299467+00,
140,Whole Wheat Linguine,,2021-05-05 16:33:36.484+00,2021-05-05 16:33:36.490233+00,
141,Leek,,2021-05-05 16:33:36.484+00,2021-05-05 16:33:36.490233+00,
142,Green Onion,,2021-05-05 16:33:36.484+00,2021-05-05 16:33:36.490233+00,
143,Pine Nuts,,2021-05-05 16:33:36.484+00,2021-05-05 16:33:36.490233+00,
144,Pecorino,,2021-05-05 16:33:36.484+00,2021-05-05 16:33:36.490233+00,
145,Farm Greens,,2021-05-05 16:35:02.718+00,2021-05-05 16:35:02.723977+00,
146,Navel Orange,,2021-05-05 16:35:02.718+00,2021-05-05 16:35:02.723977+00,
147,Organic White Grapefruit,,2021-05-05 16:35:02.718+00,2021-05-05 16:35:02.723977+00,
148,Cucumber,,2021-05-05 16:35:02.718+00,2021-05-05 16:35:02.723977+00,
149,Mint,,2021-05-05 16:35:02.718+00,2021-05-05 16:35:02.723977+00,
150,Orange Vinaigrette,,2021-05-05 16:35:02.718+00,2021-05-05 16:35:02.723977+00,
151,Gigante Beans,,2021-05-05 16:36:15.829+00,2021-05-05 16:36:15.835547+00,
152,Baby Artichoke,,2021-05-05 16:36:15.829+00,2021-05-05 16:36:15.835547+00,
153,Red Pepper,,2021-05-05 16:36:15.829+00,2021-05-05 16:36:15.835547+00,
154,Fresh Basil,,2021-05-05 16:36:15.829+00,2021-05-05 16:36:15.835547+00,
155,Arugula,,2021-05-05 16:36:15.829+00,2021-05-05 16:36:15.835547+00,
156,Basil Oil,,2021-05-05 16:36:15.829+00,2021-05-05 16:36:15.835547+00,
157,Shewolf Sourdough Miche,,2021-05-05 16:37:09.496+00,2021-05-05 16:37:09.501919+00,
158,Sourdough Brioche,,2021-05-05 16:42:48.907+00,2021-05-05 16:42:48.922813+00,
159,Organic Blueberries,,2021-05-05 16:42:48.907+00,2021-05-05 16:42:48.922813+00,
160,Organic Cream,,2021-05-05 16:42:48.907+00,2021-05-05 16:42:48.922813+00,
161,Vanilla Extract,,2021-05-05 16:42:48.907+00,2021-05-05 16:42:48.922813+00,
162,Maple Syrup,,2021-05-05 16:42:48.914+00,2021-05-05 16:42:48.922813+00,
163,Pastured Bacon,,2021-05-05 16:43:19.961+00,2021-05-05 16:43:19.96686+00,
167,Chia Seeds,,2021-05-05 16:50:48.305+00,2021-05-05 16:50:48.312966+00,
168,Coconut Milk,,2021-05-05 16:50:48.305+00,2021-05-05 16:50:48.312966+00,
169,Shredded Coconut,,2021-05-05 16:50:48.305+00,2021-05-05 16:50:48.312966+00,
170,Organic Matcha Powder,,2021-05-05 16:50:48.305+00,2021-05-05 16:50:48.312966+00,
171,Organic Kiwi,,2021-05-05 16:50:48.305+00,2021-05-05 16:50:48.312966+00,
172,Organic Bananas,,2021-05-05 16:52:06.236+00,2021-05-05 16:52:06.247008+00,
173,Organic Strawberries,,2021-05-05 16:52:06.236+00,2021-05-05 16:52:06.247008+00,
174,Organic Blackberries,,2021-05-05 16:52:06.236+00,2021-05-05 16:52:06.247008+00,
175,Kalamata Olives,,2021-05-05 16:53:44.512+00,2021-05-05 16:53:44.51722+00,
176,Chopped Spinach,,2021-05-05 16:53:44.512+00,2021-05-05 16:53:44.51722+00,
177,Feta Cheese,,2021-05-05 16:53:44.512+00,2021-05-05 16:53:44.51722+00,
178,Red Onion,,2021-05-05 16:53:44.512+00,2021-05-05 16:53:44.51722+00,
179,Organic Whole Wheat Pita,,2021-05-05 16:54:52.998+00,2021-05-05 16:54:53.003076+00,
180,Organic Labne,,2021-05-05 16:54:52.998+00,2021-05-05 16:54:53.003076+00,
181,Tomato,,2021-05-05 16:55:47.46+00,2021-05-05 16:55:47.464215+00,
182,Fresh Mint,,2021-05-05 16:55:47.46+00,2021-05-05 16:55:47.464215+00,
183,Organic Mango,,2021-05-05 16:56:46.157+00,2021-05-05 16:56:46.16205+00,
184,Atlantic Farms Salmon,,2021-05-06 23:18:57.818+00,2021-05-06 23:18:57.822532+00,
185,Fresh Dill,,2021-05-06 23:18:57.818+00,2021-05-06 23:18:57.822532+00,
186,Lemon,,2021-05-06 23:18:57.818+00,2021-05-06 23:18:57.822532+00,
187,"Pino's Pastured Lamb Sausage",,2021-05-06 23:20:01.421+00,2021-05-06 23:20:01.426999+00,
188,Cumin,,2021-05-06 23:20:01.421+00,2021-05-06 23:20:01.426999+00,
189,Paprika,,2021-05-06 23:20:01.421+00,2021-05-06 23:20:01.426999+00,
190,Brooklyn Grange Cauliflower,,2021-05-06 23:20:54.782+00,2021-05-06 23:20:54.785741+00,
191,"Za'atar",,2021-05-06 23:20:54.782+00,2021-05-06 23:20:54.785741+00,
192,Organic Sweet Potatoes,,2021-05-06 23:21:52.43+00,2021-05-06 23:21:52.434758+00,
193,Organic Tahini,,2021-05-06 23:21:52.43+00,2021-05-06 23:21:52.434758+00,
194,Nutmeg,,2021-05-06 23:21:52.43+00,2021-05-06 23:21:52.434758+00,
195,Sesame Seeds,,2021-05-06 23:21:52.43+00,2021-05-06 23:21:52.434758+00,
196,Pomegranate Seeds,,2021-05-06 23:21:52.43+00,2021-05-06 23:21:52.434758+00,
197,Gotham Greens Ugly Greens,,2021-05-06 23:23:17.743+00,2021-05-06 23:23:17.746555+00,
198,Radicchio,,2021-05-06 23:23:17.743+00,2021-05-06 23:23:17.746555+00,
199,Beefsteak Tomatoes,,2021-05-06 23:23:17.743+00,2021-05-06 23:23:17.746555+00,
200,Shewolf Sourdough Croutons,,2021-05-06 23:23:17.743+00,2021-05-06 23:23:17.746555+00,
201,Greek Vinaigrette,,2021-05-06 23:23:17.743+00,2021-05-06 23:23:17.746555+00,
202,Organic Garbanzo Beans,,2021-05-06 23:24:20.292+00,2021-05-06 23:24:20.295679+00,
203,Apricots,,2021-05-06 23:24:20.292+00,2021-05-06 23:24:20.295679+00,
204,Chili Flakes,,2021-05-06 23:24:20.292+00,2021-05-06 23:24:20.295679+00,
205,Carrot,,2021-05-06 23:24:20.292+00,2021-05-06 23:24:20.295679+00,
206,Greek Yogurt,,2021-05-06 23:25:09.233+00,2021-05-06 23:25:09.237287+00,
207,Acme Smoked Salmon,,2021-05-06 23:32:53.472+00,2021-05-06 23:32:53.478144+00,
208,Hard Boiled Free Range Eggs,,2021-05-06 23:32:53.472+00,2021-05-06 23:32:53.478144+00,
209,Capers,,2021-05-06 23:32:53.472+00,2021-05-06 23:32:53.478144+00,
210,Sliced Tomato,,2021-05-06 23:32:53.472+00,2021-05-06 23:32:53.478144+00,
211,Lemon Wedge,,2021-05-06 23:32:53.472+00,2021-05-06 23:32:53.478144+00,
212,Pea Sprouts,,2021-05-06 23:32:53.472+00,2021-05-06 23:32:53.478144+00,
213,Plain Bagel,,2021-05-06 23:36:10.46+00,2021-05-06 23:36:10.463755+00,
214,Sesame Bagel,,2021-05-06 23:36:10.46+00,2021-05-06 23:36:10.463755+00,
215,Everything Bagel,,2021-05-06 23:36:10.46+00,2021-05-06 23:36:10.463755+00,
216,Pumpernickel Everything Bagel,,2021-05-06 23:36:10.46+00,2021-05-06 23:36:10.463755+00,
217,Pasteurized Milk,,2021-05-06 23:37:19.128+00,2021-05-06 23:37:19.131689+00,
218,Pasteurized Cream,,2021-05-06 23:37:19.128+00,2021-05-06 23:37:19.131689+00,
219,Cheese Culture,,2021-05-06 23:37:19.128+00,2021-05-06 23:37:19.131689+00,
220,Carob Bean Gum,,2021-05-06 23:37:19.128+00,2021-05-06 23:37:19.131689+00,
221,Mixed Vegetables,,2021-05-06 23:37:19.128+00,2021-05-06 23:37:19.131689+00,
222,Chive,,2021-05-06 23:37:19.128+00,2021-05-06 23:37:19.131689+00,
223,Mixed Herbs,,2021-05-06 23:37:19.128+00,2021-05-06 23:37:19.131689+00,
224,Tofu,,2021-05-06 23:38:05.546+00,2021-05-06 23:38:05.552288+00,
225,Scallion,,2021-05-06 23:38:05.546+00,2021-05-06 23:38:05.552288+00,
226,Honeydew Melon,,2021-05-06 23:38:45.944+00,2021-05-06 23:38:45.94737+00,
227,Orange,,2021-05-06 23:38:45.944+00,2021-05-06 23:38:45.94737+00,
228,Wild Swordfish,,2021-05-07 00:42:28.169+00,2021-05-07 00:42:28.175038+00,
229,Wax Beans,,2021-05-07 00:42:28.169+00,2021-05-07 00:42:28.175038+00,
230,Soft Boiled Pastured Eggs,,2021-05-07 00:42:28.169+00,2021-05-07 00:42:28.175038+00,
231,Butter Lettuce,,2021-05-07 00:42:28.169+00,2021-05-07 00:42:28.175038+00,
232,Honey,,2021-05-07 00:42:28.169+00,2021-05-07 00:42:28.175038+00,
233,Evoo,,2021-05-07 00:42:28.169+00,2021-05-07 00:42:28.175038+00,
234,Pastured Pork Chops,,2021-05-07 00:43:30.828+00,2021-05-07 00:43:30.832521+00,
235,Worcestershire,,2021-05-07 00:43:30.828+00,2021-05-07 00:43:30.832521+00,
236,Ginger,,2021-05-07 00:43:30.828+00,2021-05-07 00:43:30.832521+00,
237,Sherry,,2021-05-07 00:43:30.828+00,2021-05-07 00:43:30.832521+00,
238,Rice Wine Vinegar,,2021-05-07 00:43:30.828+00,2021-05-07 00:43:30.832521+00,
239,Local Organic Red Beets,,2021-05-07 00:44:22.496+00,2021-05-07 00:44:22.500585+00,
240,Candy Cane Beets,,2021-05-07 00:44:22.496+00,2021-05-07 00:44:22.500585+00,
241,Fresh Horseradish Vinaigrette,,2021-05-07 00:44:22.496+00,2021-05-07 00:44:22.500585+00,
242,Moroccan Couscous,,2021-05-07 00:45:06.252+00,2021-05-07 00:45:06.256351+00,
243,Organic Green Peas,,2021-05-07 00:45:06.252+00,2021-05-07 00:45:06.256351+00,
244,Coriander,,2021-05-07 00:45:06.252+00,2021-05-07 00:45:06.256351+00,
245,Gotham Greens Romaine,,2021-05-07 00:46:20.844+00,2021-05-07 00:46:20.847213+00,
246,Green Goddess Dressing,,2021-05-07 00:46:20.844+00,2021-05-07 00:46:20.847213+00,
247,Hudson Farms Local Parsnips,,2021-05-07 00:47:07.694+00,2021-05-07 00:47:07.702551+00,
248,Local Sunchokes,,2021-05-07 00:47:07.694+00,2021-05-07 00:47:07.702551+00,
249,Caraway,,2021-05-07 00:47:07.694+00,2021-05-07 00:47:07.702551+00,
250,Fennel,,2021-05-07 00:47:07.694+00,2021-05-07 00:47:07.702551+00,
251,Sunflower Seed Puree,,2021-05-07 00:47:07.694+00,2021-05-07 00:47:07.702551+00,
252,Upstate Orchards Gala Apples,,2021-05-07 00:47:57.463+00,2021-05-07 00:47:57.467526+00,
253,Canadian Maple Syrup,,2021-05-07 00:47:57.463+00,2021-05-07 00:47:57.467526+00,
254,Corn Tortilla,,2021-05-07 00:50:14.009+00,2021-05-07 00:50:14.013742+00,
255,Cheddar Cheese,,2021-05-07 00:50:14.009+00,2021-05-07 00:50:14.013742+00,
256,Red Bell Pepper,,2021-05-07 00:50:14.009+00,2021-05-07 00:50:14.013742+00,
257,Green Bell Pepper,,2021-05-07 00:50:14.009+00,2021-05-07 00:50:14.013742+00,
258,"Pino's Pastured Breakfast Sausage Crumble",,2021-05-07 00:51:00.018+00,2021-05-07 00:51:00.032613+00,
259,Peanut Butter,,2021-05-07 00:51:41.813+00,2021-05-07 00:51:41.81911+00,
260,Organic Raspberries,,2021-05-07 00:51:41.813+00,2021-05-07 00:51:41.81911+00,
261,Organic Onion,,2021-05-07 00:52:42.058+00,2021-05-07 00:52:42.061895+00,
262,Chili Pepper,,2021-05-07 00:52:42.058+00,2021-05-07 00:52:42.061895+00,
263,Jicama,,2021-05-07 00:53:13.94+00,2021-05-07 00:53:13.944163+00,
264,Fresh Pear,,2021-05-07 00:53:13.94+00,2021-05-07 00:53:13.944163+00,
265,Grapes,,2021-05-07 00:53:13.94+00,2021-05-07 00:53:13.944163+00,
296,Peaches,,2021-07-12 19:06:19.851+00,2021-07-12 19:06:19.854243+00,
297,Oats,,2021-07-12 19:06:19.851+00,2021-07-12 19:06:19.854243+00,
298,Almond Milk,,2021-07-12 19:06:19.851+00,2021-07-12 19:06:19.854243+00,
299,Fresh Parsley,,2021-07-12 19:12:04.842+00,2021-07-12 19:12:04.843403+00,
300,She Wolf Sourdough Bread,,2021-07-12 19:18:59.291+00,2021-07-12 19:18:59.293081+00,
301,Hot Sauce,,2021-07-12 19:20:10.585+00,2021-07-12 19:20:10.587021+00,
302,Thai Green Curry Paste,,2021-07-12 19:31:23.698+00,2021-07-12 19:31:23.69933+00,
303,Tempeh,,2021-07-23 21:24:22.445+00,2021-07-23 21:24:22.44903+00,
304,Onion Powder,,2021-07-23 21:24:22.445+00,2021-07-23 21:24:22.44903+00,
306,Red Miso,,2021-07-23 21:46:48.833+00,2021-07-23 21:46:48.837558+00,
307,Tamari,,2021-07-23 21:46:48.833+00,2021-07-23 21:46:48.837558+00,
308,Edamame,,2021-07-23 21:46:48.833+00,2021-07-23 21:46:48.837558+00,
309,"Pino's Chicken Breasts",,2021-07-23 21:48:11.466+00,2021-07-23 21:48:11.470795+00,
310,Cashews,,2021-07-23 21:48:11.466+00,2021-07-23 21:48:11.470795+00,
311,Sesame Oil,,2021-07-23 21:48:11.466+00,2021-07-23 21:48:11.470795+00,
312,Frisee,,2021-07-23 21:48:11.466+00,2021-07-23 21:48:11.470795+00,
326,"Pino's Free Range Turkey Sausage",,2021-07-26 15:45:43.458+00,2021-07-26 15:45:43.461034+00,
327,Yukon Gold Potatoes,,2021-07-26 15:47:29.615+00,2021-07-26 15:47:29.617608+00,
328,Cultured Butter,,2021-07-26 15:47:29.615+00,2021-07-26 15:47:29.617608+00,
329,Gruyere,,2021-07-26 15:47:29.615+00,2021-07-26 15:47:29.617608+00,
330,Whole Milk,,2021-07-26 15:47:29.615+00,2021-07-26 15:47:29.617608+00,
331,Almond Butter,,2021-07-26 15:51:19.997+00,2021-07-26 15:51:19.99995+00,
332,Canteloupe Slices,,2021-07-26 15:59:00.696+00,2021-07-26 15:59:00.699075+00,
333,Watermelon Slices,,2021-07-26 15:59:00.696+00,2021-07-26 15:59:00.699075+00,
334,She Wolf Toasted Sesame Wheat Bread,,2021-07-26 16:00:08.116+00,2021-07-26 16:00:08.118762+00,
335,Vegetable Broth,,2021-07-26 16:03:19.047+00,2021-07-26 16:03:19.050672+00,
336,Fresh Tarragon,,2021-07-26 16:06:03.649+00,2021-07-26 16:06:03.652202+00,
337,Fresh Chives,,2021-07-26 16:06:03.649+00,2021-07-26 16:06:03.652202+00,
338,Chickpeas,,2021-07-26 16:15:50.345+00,2021-07-26 16:15:50.348073+00,
339,Yellow Squash,,2021-07-26 16:15:50.345+00,2021-07-26 16:15:50.348073+00,
340,Zucchini,,2021-07-26 16:15:50.345+00,2021-07-26 16:15:50.348073+00,
341,Flaky Salt,,2021-07-26 16:15:50.345+00,2021-07-26 16:15:50.348073+00,
342,Balsamic Vinegar,,2021-07-26 16:17:26.772+00,2021-07-26 16:17:26.77521+00,
343,Orange Zest,,2021-07-26 16:17:26.772+00,2021-07-26 16:17:26.77521+00,
344,Gnocchi,,2021-07-26 16:19:00.357+00,2021-07-26 16:19:00.360212+00,
345,Heirloom Tomatoes,,2021-07-26 16:21:05.341+00,2021-07-26 16:21:05.345508+00,
346,Bowery Farming Radicchio,,2021-07-26 16:21:05.341+00,2021-07-26 16:21:05.345508+00,
347,Endive,,2021-07-26 16:21:05.341+00,2021-07-26 16:21:05.345508+00,
348,Balsamic,,2021-07-26 16:21:05.341+00,2021-07-26 16:21:05.345508+00,
349,Dijon Mustard,,2021-07-26 16:21:05.341+00,2021-07-26 16:21:05.345508+00,
350,Crushed Black Pepper,,2021-07-26 16:21:05.341+00,2021-07-26 16:21:05.345508+00,
351,Salt,,2021-07-26 16:21:05.341+00,2021-07-26 16:21:05.345508+00,
352,Plum Tomatoes,,2021-07-26 16:51:03.951+00,2021-07-26 16:51:03.953455+00,
353,Cayenne Pepper,,2021-07-26 16:51:03.951+00,2021-07-26 16:51:03.953455+00,
354,Pineapple,,2021-07-26 16:53:10.601+00,2021-07-26 16:53:10.604252+00,
355,Lump Crab,,2021-07-26 16:58:14.217+00,2021-07-26 16:58:14.219029+00,
356,Panko,,2021-07-26 16:58:14.217+00,2021-07-26 16:58:14.219029+00,
357,Partners Coffee,,2021-07-26 16:59:57.808+00,2021-07-26 16:59:57.810214+00,
358,"Pino's Flank Steak",,2021-07-26 16:59:57.808+00,2021-07-26 16:59:57.810214+00,
359,Dark Brown Sugar,,2021-07-26 16:59:57.808+00,2021-07-26 16:59:57.810214+00,
360,Smoked Paprika,,2021-07-26 16:59:57.808+00,2021-07-26 16:59:57.810214+00,
361,Ground Coriander,,2021-07-26 16:59:57.808+00,2021-07-26 16:59:57.810214+00,
366,Broccoli Rabe,,2021-07-26 17:03:54.105+00,2021-07-26 17:03:54.107458+00,
367,Roasted Lemons,,2021-07-26 17:03:54.105+00,2021-07-26 17:03:54.107458+00,
368,Bowery Farms Baby Kale,,2021-07-26 17:05:07.086+00,2021-07-26 17:05:07.089337+00,
369,Pepitas,,2021-07-26 17:05:07.086+00,2021-07-26 17:05:07.089337+00,
370,Shaved Carrots,,2021-07-26 17:05:07.086+00,2021-07-26 17:05:07.089337+00,
371,"Sir Kensington's Vegan Mayonnaise",,2021-07-26 17:10:26.018+00,2021-07-26 17:10:26.020372+00,
372,Halloumi,,2021-07-26 17:13:20.278+00,2021-07-26 17:13:20.280668+00,
373,Onion Chives,,2021-07-26 17:15:25.202+00,2021-07-26 17:15:25.204019+00,
374,Cacao,,2021-07-26 17:16:40.235+00,2021-07-26 17:16:40.237641+00,
375,Flaxseeds,,2021-07-26 17:16:40.235+00,2021-07-26 17:16:40.237641+00,
376,Plums,,2021-07-26 17:18:17.288+00,2021-07-26 17:18:17.289803+00,
